shortname	gtrnadbid	species_long	query	class	family	genus	order	phylum	species	domain	txid	kingdom
Chit_pine_DSM_2588	chitPine_DSM2588	Chitinophaga pinensis DSM 2588	Chitinophaga pinensis	Chitinophagia	Chitinophagaceae	Chitinophaga	Chitinophagales	Bacteroidetes	Chitinophaga pinensis	Bacteria	79329	
Hali_hydr_DSM_1100	haliHydr_DSM1100	Haliscomenobacter hydrossis DSM 1100	Haliscomenobacter hydrossis	Saprospiria	Haliscomenobacteraceae	Haliscomenobacter	Saprospirales	Bacteroidetes	Haliscomenobacter hydrossis	Bacteria	2350	
Niab_soli_DSM_19437_JS13_8	niabSoli_DSM19437_JS13_8	Niabella soli DSM 19437 JS13-8	Niabella soli	Chitinophagia	Chitinophagaceae	Niabella	Chitinophagales	Bacteroidetes	Niabella soli	Bacteria	446683	
Nias_kore_GR20_10	niasKore_GR20_10	Niastella koreensis GR20-10	Niastella koreensis	Chitinophagia	Chitinophagaceae	Niastella	Chitinophagales	Bacteroidetes	Niastella koreensis	Bacteria	354356	
Pedo_hepa_DSM_2366	pedoHepa_DSM2366	Pedobacter heparinus DSM 2366	Pedobacter heparinus	Sphingobacteriia	Sphingobacteriaceae	Pedobacter	Sphingobacteriales	Bacteroidetes	Pedobacter heparinus	Bacteria	984	
Pedo_salt_DSM_12145	pedoSalt_DSM12145	Pedobacter saltans DSM 12145	Pedobacter saltans	Sphingobacteriia	Sphingobacteriaceae	Pseudopedobacter	Sphingobacteriales	Bacteroidetes	Pseudopedobacter saltans	Bacteria	151895	
Sapr_gran_Lewin	saprGran_LEWIN	Saprospira grandis str. Lewin	Saprospira grandis	Saprospiria	Saprospiraceae	Saprospira	Saprospirales	Bacteroidetes	Saprospira grandis	Bacteria	1008	
Soli_cana_DSM_3403	soliCana_DSM3403	Solitalea canadensis DSM 3403	Solitalea canadensis	Sphingobacteriia	Sphingobacteriaceae	Solitalea	Sphingobacteriales	Bacteroidetes	Solitalea canadensis	Bacteria	995	
Sphi_21	sphiSp_21	Sphingobacterium sp. 21	Sphingobacterium sp	Sphingobacteriia	Sphingobacteriaceae	Sphingobacterium	Sphingobacteriales	Bacteroidetes	Sphingobacterium sp.	Bacteria	341027	
Sphi_ML3W	sphiSp_ML3W	Sphingobacterium sp. ML3W	Sphingobacterium sp	Sphingobacteriia	Sphingobacteriaceae	Sphingobacterium	Sphingobacteriales	Bacteroidetes	Sphingobacterium sp.	Bacteria	341027	
Cald_exil_AZM16c01	caldExil_AZM16C01	Caldisericum exile AZM16c01	Caldisericum exile	Caldisericia	Caldisericaceae	Caldisericum	Caldisericales	Caldiserica	Caldisericum exile	Bacteria	693075	
Cand_Prot_amoebophila_UWE25	paraSp_UWE25	Candidatus Protochlamydia amoebophila UWE25	Candidatus Protochlamydia	Chlamydiia	Parachlamydiaceae	Candidatus Protochlamydia	Parachlamydiales	Chlamydiae		Bacteria	txid	
Chla_aviu_10DC88	chlaAviu_10DC88	Chlamydia avium 10DC88	Chlamydia avium	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia avium	Bacteria	1457141	
Chla_muri_MopnTet14	chlaMuri_MOPNTET14	Chlamydia muridarum MopnTet14	Chlamydia muridarum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia muridarum	Bacteria	83560	
Chla_muri_Nigg3_2	chlaMuri_NIGG3_2	Chlamydia muridarum Nigg3	Chlamydia muridarum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia muridarum	Bacteria	83560	
Chla_muri_Nigg3	chlaMuri_NIGG3	Chlamydia muridarum Nigg3	Chlamydia muridarum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia muridarum	Bacteria	83560	
Chla_muri_Nigg3_1	chlaMuri_NIGG3_1	Chlamydia muridarum Nigg3	Chlamydia muridarum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia muridarum	Bacteria	83560	
Chla_muri_Nigg	chlaMuri_NIGG	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia muridarum	Bacteria	83560	
Chla_muri_Nigg_2_MCR	chlaMuri_NIGG_2_MCR	Chlamydia muridarum str. Nigg 2 MCR	Chlamydia muridarum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia muridarum	Bacteria	83560	
Chla_muri_Nigg_CM972	chlaMuri_NIGG_CM972	Chlamydia muridarum str. Nigg CM972	Chlamydia muridarum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia muridarum	Bacteria	83560	
Chla_muri_Nigg3_CMUT3_5	chlaMuri_NIGG3_CMUT3_5	Chlamydia muridarum str. Nigg3 CMUT3-5	Chlamydia muridarum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia muridarum	Bacteria	83560	
Chla_peco_P787	chlaPeco_P787	Chlamydia pecorum P787	Chlamydia pecorum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia pecorum	Bacteria	85991	
Chla_peco_PV3056_3	chlaPeco_PV3056_3	Chlamydia pecorum PV3056/3	Chlamydia pecorum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia pecorum	Bacteria	85991	
Chla_peco_W73	chlaPeco_W73	Chlamydia pecorum W73	Chlamydia pecorum	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia pecorum	Bacteria	85991	
Chla_psit_01DC11	chlaPsit_01DC11	Chlamydia psittaci 01DC11	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_01DC12	chlaPsit_01DC12	Chlamydia psittaci 01DC12	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_02DC15	chlaPsit_02DC15	Chlamydia psittaci 02DC15	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_08DC60	chlaPsit_08DC60	Chlamydia psittaci 08DC60	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_6BC	chlaPsit_6BC	Chlamydia psittaci 6BC	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_6BC_1	chlaPsit_6BC_1	Chlamydia psittaci 6BC	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_84_55	chlaPsit_84_55	Chlamydia psittaci 84/55	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_C19_98	chlaPsit_C19_98	Chlamydia psittaci C19/98	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_CP3	chlaPsit_CP3	Chlamydia psittaci CP3	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_GR9	chlaPsit_GR9	Chlamydia psittaci GR9	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_M56	chlaPsit_M56	Chlamydia psittaci M56	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_MN	chlaPsit_MN	Chlamydia psittaci MN	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_Mat116	chlaPsit_MAT116	Chlamydia psittaci Mat116	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_NJ1	chlaPsit_NJ1	Chlamydia psittaci NJ1	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_RD1	chlaPsit_RD1	Chlamydia psittaci RD1	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_VS225	chlaPsit_VS225	Chlamydia psittaci VS225	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_WC	chlaPsit_WC	Chlamydia psittaci WC	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_psit_WS_RT_E30	chlaPsit_WS_RT_E30	Chlamydia psittaci WS/RT/E30	Chlamydia psittaci	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia psittaci	Bacteria	83554	
Chla_trac_434_Bu	chlaTrac_434_BU	Chlamydia trachomatis 434/Bu	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_6276	chlaTrac_6276	Chlamydia trachomatis 6276	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_6276s	chlaTrac_6276S	Chlamydia trachomatis 6276s	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_70	chlaTrac_70	Chlamydia trachomatis 70	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_70s	chlaTrac_70S	Chlamydia trachomatis 70s	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_A_363	chlaTrac_A_363	Chlamydia trachomatis A/363	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_A_5291	chlaTrac_A_5291	Chlamydia trachomatis A/5291	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_A_7249	chlaTrac_A_7249	Chlamydia trachomatis A/7249	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_A_HAR_13	chlaTrac_A_HAR_13	Chlamydia trachomatis A/HAR-13	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_A2497_1	chlaTrac_A2497_1	Chlamydia trachomatis A2497	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_A2497	chlaTrac_A2497	Chlamydia trachomatis A2497	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_B_Jali20_OT	chlaTrac_B_JALI20_OT	Chlamydia trachomatis B/Jali20/OT	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_B_TZ1A828_OT	chlaTrac_B_TZ1A828_OT	Chlamydia trachomatis B/TZ1A828/OT	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_C_TW_3	chlaTrac_C_TW_3	Chlamydia trachomatis C/TW-3	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_D_EC	chlaTrac_D_EC	Chlamydia trachomatis D-EC	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_D_LC	chlaTrac_D_LC	Chlamydia trachomatis D-LC	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_D_13_96	chlaTrac_D_13_96	Chlamydia trachomatis D/13-96	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_D_14_96	chlaTrac_D_14_96	Chlamydia trachomatis D/14-96	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_D_SotonD1	chlaTrac_D_SOTOND1	Chlamydia trachomatis D/SotonD1	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_D_SotonD5	chlaTrac_D_SOTOND5	Chlamydia trachomatis D/SotonD5	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_D_SotonD6	chlaTrac_D_SOTOND6	Chlamydia trachomatis D/SotonD6	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_D_UW_3_CX	chlaTrac_D_UW_3_CX	Chlamydia trachomatis D/UW-3/CX	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_Ds2923	chlaTrac_DS2923	Chlamydia trachomatis Ds2923	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_E_11023	chlaTrac_E_11023	Chlamydia trachomatis E/11023	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_E_12_94	chlaTrac_E_12_94	Chlamydia trachomatis E/12-94	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_E_150	chlaTrac_E_150	Chlamydia trachomatis E/150	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_E_Bour	chlaTrac_E_BOUR	Chlamydia trachomatis E/Bour	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_E_C599	chlaTrac_E_C599	Chlamydia trachomatis E/C599	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_E_SW3	chlaTrac_E_SW3	Chlamydia trachomatis E/SW3	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_E_SotonE4	chlaTrac_E_SOTONE4	Chlamydia trachomatis E/SotonE4	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_E_SotonE8	chlaTrac_E_SOTONE8	Chlamydia trachomatis E/SotonE8	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_F_1_93	chlaTrac_F_1_93	Chlamydia trachomatis F/1-93	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_F_11_96	chlaTrac_F_11_96	Chlamydia trachomatis F/11-96	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_F_2_93	chlaTrac_F_2_93	Chlamydia trachomatis F/2-93	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_F_6_94	chlaTrac_F_6_94	Chlamydia trachomatis F/6-94	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_F_SW4	chlaTrac_F_SW4	Chlamydia trachomatis F/SW4	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_F_SW5	chlaTrac_F_SW5	Chlamydia trachomatis F/SW5	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_F_SWFPminus	chlaTrac_F_SWFPMINUS	Chlamydia trachomatis F/SWFPminus	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_F_SotonF3	chlaTrac_F_SOTONF3	Chlamydia trachomatis F/SotonF3	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_G_11074	chlaTrac_G_11074	Chlamydia trachomatis G/11074	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_G_11222	chlaTrac_G_11222	Chlamydia trachomatis G/11222	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_G_9301	chlaTrac_G_9301	Chlamydia trachomatis G/9301	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_G_9768	chlaTrac_G_9768	Chlamydia trachomatis G/9768	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_G_SotonG1	chlaTrac_G_SOTONG1	Chlamydia trachomatis G/SotonG1	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_IU824	chlaTrac_IU824	Chlamydia trachomatis IU824	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_IU888	chlaTrac_IU888	Chlamydia trachomatis IU888	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_Ia_SotonIa1	chlaTrac_IA_SOTONIA1	Chlamydia trachomatis Ia/SotonIa1	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_Ia_SotonIa3	chlaTrac_IA_SOTONIA3	Chlamydia trachomatis Ia/SotonIa3	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_Ia20_97	chlaTrac_IA20_97	Chlamydia trachomatis Ia20-97	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_J_27_97	chlaTrac_J_27_97	Chlamydia trachomatis J/27-97	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_J_31_98	chlaTrac_J_31_98	Chlamydia trachomatis J/31-98	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_J_6276tet1	chlaTrac_J_6276TET1	Chlamydia trachomatis J/6276tet1	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_K_SotonK1	chlaTrac_K_SOTONK1	Chlamydia trachomatis K/SotonK1	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L1_115	chlaTrac_L1_115	Chlamydia trachomatis L1/115	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L1_1322_p2	chlaTrac_L1_1322_P2	Chlamydia trachomatis L1/1322/p2	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L1_224	chlaTrac_L1_224	Chlamydia trachomatis L1/224	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L1_440_LN	chlaTrac_L1_440_LN	Chlamydia trachomatis L1/440/LN	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2_25667R	chlaTrac_L2_25667R	Chlamydia trachomatis L2/25667R	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_795	chlaTrac_L2B_795	Chlamydia trachomatis L2b/795	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_8200_07	chlaTrac_L2B_8200_07	Chlamydia trachomatis L2b/8200/07	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_Ams1	chlaTrac_L2B_AMS1	Chlamydia trachomatis L2b/Ams1	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_Ams2	chlaTrac_L2B_AMS2	Chlamydia trachomatis L2b/Ams2	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_Ams3	chlaTrac_L2B_AMS3	Chlamydia trachomatis L2b/Ams3	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_Ams4	chlaTrac_L2B_AMS4	Chlamydia trachomatis L2b/Ams4	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_Ams5	chlaTrac_L2B_AMS5	Chlamydia trachomatis L2b/Ams5	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_CS19_08	chlaTrac_L2B_CS19_08	Chlamydia trachomatis L2b/CS19/08	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_CS784_08	chlaTrac_L2B_CS784_08	Chlamydia trachomatis L2b/CS784/08	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_CV204	chlaTrac_L2B_CV204	Chlamydia trachomatis L2b/CV204	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_Canada1	chlaTrac_L2B_CANADA1	Chlamydia trachomatis L2b/Canada1	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_Canada2	chlaTrac_L2B_CANADA2	Chlamydia trachomatis L2b/Canada2	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_LST	chlaTrac_L2B_LST	Chlamydia trachomatis L2b/LST	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_UCH_1_proctitis	chlaTrac_L2B_UCH_1_PROCTITIS	Chlamydia trachomatis L2b/UCH-1/proctitis	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2b_UCH_2	chlaTrac_L2B_UCH_2	Chlamydia trachomatis L2b/UCH-2	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2c	chlaTrac_L2C	Chlamydia trachomatis L2c	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L2tet1	chlaTrac_L2TET1	Chlamydia trachomatis L2tet1	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
Chla_trac_L3_404_LN	chlaTrac_L3_404_LN	Chlamydia trachomatis L3/404/LN	Chlamydia trachomatis	Chlamydiia	Chlamydiaceae	Chlamydia	Chlamydiales	Chlamydiae	Chlamydia trachomatis	Bacteria	813	
